+--------------------+--------------------+--------------------+--------------------+--------------------+
|  NODE ID           |  PROD ID           |  PRICE             |  NAME              |  SCAN STATUS       |
+--------------------+--------------------+--------------------+--------------------+--------------------+
|  1                 |  1                 |  3                 |  Product_1         |  IDLE              |
|  2                 |  2                 |  5                 |  Product_2         |  IDLE              |
|  3                 |  3                 |  7                 |  Product_3         |  IDLE              |
|  4                 |  4                 |  9                 |  Product_4         |  IDLE              |
|  5                 |  5                 |  11                |  Product_5         |  IDLE              |
|  6                 |  6                 |  13                |  Product_6         |  IDLE              |
|  7                 |  7                 |  15                |  Product_7         |  IDLE              |
|  8                 |  8                 |  17                |  Product_8         |  IDLE              |
|  9                 |  9                 |  19                |  Product_9         |  IDLE              |
|  10                |  10                |  21                |  Product_10        |  IDLE              |
|  11                |  11                |  23                |  Product_11        |  IDLE              |
|  12                |  12                |  25                |  Product_12        |  IDLE              |
|  13                |  13                |  27                |  Product_13        |  IDLE              |
|  14                |  14                |  29                |  Product_14        |  IDLE              |
|  15                |  15                |  31                |  Product_15        |  IDLE              |
|  16                |  16                |  33                |  Product_16        |  IDLE              |
|  17                |  17                |  35                |  Product_17        |  IDLE              |
|  18                |  18                |  37                |  Product_18        |  IDLE              |
|  19                |  19                |  39                |  Product_19        |  IDLE              |
|  20                |  20                |  41                |  Product_20        |  IDLE              |
|  21                |  21                |  43                |  Product_21        |  IDLE              |
|  22                |  22                |  45                |  Product_22        |  IDLE              |
|  23                |  23                |  47                |  Product_23        |  IDLE              |
|  24                |  24                |  49                |  Product_24        |  IDLE              |
|  25                |  25                |  51                |  Product_25        |  IDLE              |
|  26                |  26                |  53                |  Product_26        |  IDLE              |
|  27                |  27                |  55                |  Product_27        |  IDLE              |
|  28                |  28                |  57                |  Product_28        |  IDLE              |
|  29                |  29                |  59                |  Product_29        |  IDLE              |
|  30                |  30                |  61                |  Product_30        |  IDLE              |
|  31                |  31                |  63                |  Product_31        |  IDLE              |
|  32                |  32                |  65                |  Product_32        |  IDLE              |
|  33                |  33                |  67                |  Product_33        |  IDLE              |
|  34                |  34                |  69                |  Product_34        |  IDLE              |
|  35                |  35                |  71                |  Product_35        |  IDLE              |
|  36                |  36                |  73                |  Product_36        |  IDLE              |
|  37                |  37                |  75                |  Product_37        |  IDLE              |
|  38                |  38                |  77                |  Product_38        |  IDLE              |
|  39                |  39                |  79                |  Product_39        |  IDLE              |
|  40                |  40                |  81                |  Product_40        |  IDLE              |
|  41                |  41                |  83                |  Product_41        |  IDLE              |
|  42                |  42                |  85                |  Product_42        |  IDLE              |
|  43                |  43                |  87                |  Product_43        |  IDLE              |
|  44                |  44                |  89                |  Product_44        |  IDLE              |
|  45                |  45                |  91                |  Product_45        |  IDLE              |
|  46                |  46                |  93                |  Product_46        |  IDLE              |
|  47                |  47                |  95                |  Product_47        |  IDLE              |
|  48                |  48                |  97                |  Product_48        |  IDLE              |
|  49                |  49                |  99                |  Product_49        |  IDLE              |
|  50                |  50                |  101               |  Product_50        |  IDLE              |
+--------------------+--------------------+--------------------+--------------------+--------------------+


Clock: 12610
